                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 68   | 152   | 58   | 44  | 1W  | 14  | tetrasubopt                       | tetrasuboptimal                     | TES  |
| 69   | 153   | 59   | 45  | 1X  | 15  | trinbieleven                      | trinbielevenary                     | TIB  |
| 70   | 154   | 5E   | 46  | 1Y  | 16  | heptages                          | heptagesimal                        | HPG  |
| 71   | 155   | 5X   | 47  | 1Z  | 17  | unheptages                        | unheptagesimal                      | UHP  |
| 72   | 200   | 60   | 48  | 20  | 18  | octonon                           | octononary                          | OCN  |
| 73   | 201   | 61   | 49  | 21  | 19  | unoctonon                         | unoctononary                        | UNO  |
| 74   | 202   | 62   | 4A  | 22  | 1A  | binnift                           | binniftimal                         | BNN  |
| 75   | 203   | 63   | 4B  | 23  | 1B  | pentatriquin                      | pentatriquinary                     | PTT  |
| 76   | 204   | 64   | 4C  | 24  | 1C  | tetruntrisex                      | tetruntriseximal                    | TEN  |
| 77   | 205   | 65   | 4D  | 25  | 1D  | hepteleven                        | heptelevenary                       | HPL  |
| 78   | 210   | 66   | 4E  | 26  | 1E  | hexaker's dozen                   | hexaker's dozenal                   | HEK  |
| 79   | 211   | 67   | 4F  | 27  | 1F  | unhexaker's dozen                 | unhexaker's dozenal                 | UNK  |
| 80   | 212   | 68   | 50  | 28  | 1G  | octoges                           | octogesimal                         | OCG  |
| 81   | 213   | 69   | 51  | 29  | 1H  | ennanon                           | ennanonary                          | ENN  |
| 82   | 214   | 6E   | 52  | 2A  | 1I  | binpentoct                        | binpentoctal                        | BNP  |
| 83   | 215   | 6X   | 53  | 2B  | 1J  | unbinpentoct                      | unbinpentoctal                      | UBP  |
| 84   | 220   | 70   | 54  | 2C  | 1K  | heptadozen                        | heptadozenal                        | HED  |
| 85   | 221   | 71   | 55  | 2D  | 1L  | pentasubopt                       | pentasuboptimal                     | PES  |
| 86   | 222   | 72   | 56  | 2E  | 1M  | binhexasept                       | binhexaseptimal                     | BIH  |
| 87   | 223   | 73   | 57  | 2F  | 1N  | trintetrasept                     | trintetraseptimal                   | TRT  |
| 88   | 224   | 74   | 58  | 2G  | 1O  | octeleven                         | octelevenary                        | OCL  |
| 89   | 225   | 75   | 59  | 2H  | 1P  | unocteleven                       | unoctelevenary                      | UNC  |
| 90   | 230   | 76   | 5A  | 2I  | 1Q  | ennages                           | ennagesimal                         | ENG  |
| 91   | 231   | 77   | 5B  | 2J  | 1R  | heptaker's dozen                  | heptaker's dozenal                  | HPK  |
| 92   | 232   | 78   | 5C  | 2K  | 1S  | tetrunbieleven                    | tetrunbielevenary                   | TTN  |
| 93   | 233   | 79   | 5D  | 2L  | 1T  | trinpentasex                      | trinpentaseximal                    | TRP  |
| 94   | 234   | 7E   | 5E  | 2M  | 1U  | binbinbieleven                    | binbinbielevenary                   | BBN  |
| 95   | 235   | 7X   | 5F  | 2N  | 1V  | pentuntrisex                      | pentuntriseximal                    | PTN  |
| 96   | 240   | 80   | 60  | 2O  | 1W  | octodozen                         | octodozenal                         | OCD  |
| 97   | 241   | 81   | 61  | 2P  | 1X  | unoctodozen                       | unoctodozenal                       | UOC  |
| 98   | 242   | 82   | 62  | 2Q  | 1Y  | heptabisept                       | heptabiseptimal                     | HEB  |
| 99   | 243   | 83   | 63  | 2R  | 1Z  | enneleven                         | ennelevenary                        | ENL  |
| 100  | 244   | 84   | 64  | 2S  | 1a  | cent                              | centesimal                          | CEN  |
| 101  | 245   | 85   | 65  | 2T  | 1b  | uncent                            | uncentesimal                        | UCN  |
| 102  | 250   | 86   | 66  | 2U  | 1c  | hexasubopt                        | hexasuboptimal                      | HXS  |
| 103  | 251   | 87   | 67  | 2V  | 1d  | unhexasubopt                      | unhexasuboptimal                    | UNS  |
| 104  | 252   | 88   | 68  | 2W  | 1e  | octoker's dozen                   | octoker's dozenal                   | OCK  |
| 105  | 253   | 89   | 69  | 2X  | 1f  | heptatriquin                      | heptatriquinary                     | HTT  |
| 106  | 254   | 8E   | 6A  | 2Y  | 1g  | bintetraker's dozen               | bintetraker's dozenal               | BTT  |
| 107  | 255   | 8X   | 6B  | 2Z  | 1h  | unbintetraker's dozen             | unbintetraker's dozenal             | UBR  |
| 108  | 300   | 90   | 6C  | 30  | 1i  | ennadozen                         | ennadozenal                         | END  |
| 109  | 301   | 91   | 6D  | 31  | 1j  | unennadozen                       | unennadozenal                       | UNE  |
| 110  | 302   | 92   | 6E  | 32  | 1k  | deceleven                         | decelevenary                        | DEL  |
| 111  | 303   | 93   | 6F  | 33  | 1l  | trinnift                          | trinniftimal                        | TNN  |
| 112  | 304   | 94   | 70  | 34  | 1m  | heptahex                          | heptahex                            | HEH  |
| 113  | 305   | 95   | 71  | 35  | 1n  | unheptahex                        | unheptahex                          | UHT  |
| 114  | 310   | 96   | 72  | 36  | 1o  | hexuntrisex                       | hexuntriseximal                     | HXN  |
| 115  | 311   | 97   | 73  | 37  | 1p  | pentunbieleven                    | pentunbielevenary                   | PEB  |
| 116  | 312   | 98   | 74  | 38  | 1q  | tetruntetrasept                   | tetruntetraseptimal                 | TTT  |
| 117  | 313   | 99   | 75  | 39  | 1r  | ennaker's dozen                   | ennaker's dozenal                   | ENK  |
| 118  | 314   | 9E   | 76  | 3A  | 1s  | binbintetrasept                   | binbintetraseptimal                 | BBT  |
| 119  | 315   | 9X   | 77  | 3B  | 1t  | heptasubopt                       | heptasuboptimal                     | HPS  |
| 120  | 320   | E0   | 78  | 3C  | 1u  | decadozen                         | decadozenal                         | DED  |
| 121  | 321   | E1   | 79  | 3D  | 1v  | leveleven                         | levelevenary                        | LEV  |
| 122  | 322   | E2   | 7A  | 3E  | 1w  | binhexages                        | binhexagesimal                      | BNH  |
| 123  | 323   | E3   | 7B  | 3F  | 1x  | trinpentoct                       | trinpentoctal                       | TIP  |
| 124  | 324   | E4   | 7C  | 3G  | 1y  | tetrunpentasex                    | tetrunpentaseximal                  | TEP  |
| 125  | 325   | E5   | 7D  | 3H  | 1z  | pentapentaquin                    | pentapentaquinary                   | PEP  |
| 126  | 330   | E6   | 7E  | 3I  | 1-  | ennabisept                        | ennabiseptimal                      | ENB  |
| 127  | 331   | E7   | 7F  | 3J  | 1_  | unennabisept                      | unennabiseptimal                    | UEN  |
| 128  | 332   | E8   | 80  | 3K  | 20  | octohex                           | octohex                             | OCH  |
| 129  | 333   | E9   | 81  | 3L  | 21  | trinhexasept                      | trinhexaseptimal                    | TRH  |
| 130  | 334   | EE   | 82  | 3M  | 22  | decaker's dozen                   | decaker's dozenal                   | DEK  |
| 131  | 335   | EX   | 83  | 3N  | 23  | undecaker's dozen                 | undecaker's dozenal                 | UND  |
| 132  | 340   | X0   | 84  | 3O  | 24  | levadozen                         | levadozenal                         | LED  |
| 133  | 341   | X1   | 85  | 3P  | 25  | heptuntrisex                      | heptuntriseximal                    | HPN  |
| 134  | 342   | X2   | 86  | 3Q  | 26  | binhexeleven                      | binhexelevenary                     | BIX  |
| 135  | 343   | X3   | 87  | 3R  | 27  | ennatriquin                       | ennatriquinary                      | ENT  |
| 136  | 344   | X4   | 88  | 3S  | 28  | octosubopt                        | octosuboptimal                      | OCS  |
| 137  | 345   | X5   | 89  | 3T  | 29  | unoctosubopt                      | unoctosuboptimal                    | UOT  |
| 138  | 350   | X6   | 8A  | 3U  | 2A  | hexunbieleven                     | hexunbielevenary                    | HXB  |
| 139  | 351   | X7   | 8B  | 3V  | 2B  | unhexunbieleven                   | unhexunbielevenary                  | UHN  |
| 140  | 352   | X8   | 8C  | 3W  | 2C  | heptaviges                        | heptavigesimal                      | HEV  |
| 141  | 353   | X9   | 8D  | 3X  | 2D  | trinbinbieleven                   | trinbinbielevenary                  | TNB  |
| 142  | 354   | XE   | 8E  | 3Y  | 2E  | binheptages                       | binheptagesimal                     | BHP  |
| 143  | 355   | XX   | 8F  | 3Z  | 2F  | levaker's dozen                   | levaker's dozenal                   | LEK  |
| 144  | 400   | 100  | 90  | 40  | 2G  | dozadozen                         | dozadozenal                         | DOD  |
| 145  | 401   | 101  | 91  | 41  | 2H  | pentuntetrasept                   | pentuntetraseptimal                 | PER  |
| 146  | 402   | 102  | 92  | 42  | 2I  | binoctonon                        | binoctononary                       | BIC  |
| 147  | 403   | 103  | 93  | 43  | 2J  | heptatrisept                      | heptatriseptimal                    | HER  |
| 148  | 404   | 104  | 94  | 44  | 2K  | tetrunnift                        | tetrunniftimal                      | TEF  |
| 149  | 405   | 105  | 95  | 45  | 2L  | untetrunnift                      | untetrunniftimal                    | UTR  |
| 150  | 410   | 106  | 96  | 46  | 2M  | decatriquin                       | decatriquinary                      | DET  |
| 151  | 411   | 107  | 97  | 47  | 2N  | undecatriquin                     | undecatriquinary                    | UDC  |
| 152  | 412   | 108  | 98  | 48  | 2O  | octuntrisex                       | octuntriseximal                     | OTN  |
| 153  | 413   | 109  | 99  | 49  | 2P  | ennasubopt                        | ennasuboptimal                      | ENS  |
| 154  | 414   | 10E  | 9A  | 4A  | 2Q  | levabisept                        | levabiseptimal                      | LEB  |
| 155  | 415   | 10X  | 9B  | 4B  | 2R  | pentunpentasex                    | pentunpentaseximal                  | PNP  |
| 156  | 420   | 110  | 9C  | 4C  | 2S  | dozaker's dozen                   | dozaker's dozenal                   | DOK  |
| 157  | 421   | 111  | 9D  | 4D  | 2T  | undozaker's dozen                 | undozaker's dozenal                 | UNZ  |
| 158  | 422   | 112  | 9E  | 4E  | 2U  | binhexaker's dozen                | binhexaker's dozenal                | BNX  |
| 159  | 423   | 113  | 9F  | 4F  | 2V  | trintetraker's dozen              | trintetraker's dozenal              | TIT  |
| 160  | 424   | 114  | A0  | 4G  | 2W  | decahex                           | decahex                             | DEH  |
| 161  | 425   | 115  | A1  | 4H  | 2X  | heptunbieleven                    | heptunbielevenary                   | HTN  |
| 162  | 430   | 116  | A2  | 4I  | 2Y  | ennatrisex                        | ennatriseximal                      | ENR  |
| 163  | 431   | 117  | A3  | 4J  | 2Z  | unennatrisex                      | unennatriseximal                    | UET  |
| 164  | 432   | 118  | A4  | 4K  | 2a  | tetrunpentoct                     | tetrunpentoctal                     | TTP  |
| 165  | 433   | 119  | A5  | 4L  | 2b  | levatriquin                       | levatriquinary                      | LET  |
| 166  | 434   | 11E  | A6  | 4M  | 2c  | binbinpentoct                     | binbinpentoctal                     | BBP  |
| 167  | 435   | 11X  | A7  | 4N  | 2d  | unbinbinpentoct                   | unbinbinpentoctal                   | UBB  |
| 168  | 440   | 120  | A8  | 4O  | 2e  | dozabisept                        | dozabiseptimal                      | DOB  |
| 169  | 441   | 121  | A9  | 4P  | 2f  | bakerker's dozen                  | bakerker's dozenal                  | BAR  |
| 170  | 442   | 122  | AA  | 4Q  | 2g  | decasubopt                        | decasuboptimal                      | DES  |
| 171  | 443   | 123  | AB  | 4R  | 2h  | ennuntrisex                       | ennuntriseximal                     | ETR  |
| 172  | 444   | 124  | AC  | 4S  | 2i  | tetrunhexasept                    | tetrunhexaseptimal                  | TEH  |
| 173  | 445   | 125  | AD  | 4T  | 2j  | untetrunhexasept                  | untetrunhexaseptimal                | UTN  |
| 174  | 450   | 126  | AE  | 4U  | 2k  | hexuntetrasept                    | hexuntetraseptimal                  | HXT  |
| 175  | 451   | 127  | AF  | 4V  | 2l  | heptapentaquin                    | heptapentaquinary                   | HPP  |
| 176  | 452   | 128  | B0  | 4W  | 2m  | levahex                           | levahex                             | LEH  |
| 177  | 453   | 129  | B1  | 4X  | 2n  | trinbintetrasept                  | trinbintetraseptimal                | TBN  |
| 178  | 454   | 12E  | B2  | 4Y  | 2o  | binocteleven                      | binoctelevenary                     | BNC  |
| 179  | 455   | 12X  | B3  | 4Z  | 2p  | unbinocteleven                    | unbinoctelevenary                   | UBC  |
| 180  | 500   | 130  | B4  | 50  | 2q  | ennaviges                         | ennavigesimal                       | ENV  |
| 181  | 501   | 131  | B5  | 51  | 2r  | unennaviges                       | unennavigesimal                     | UNV  |
| 182  | 502   | 132  | B6  | 52  | 2s  | bakerbisept                       | bakerbiseptimal                     | BKR  |
| 183  | 503   | 133  | B7  | 53  | 2t  | trinhexages                       | trinhexagesimal                     | TIH  |
| 184  | 504   | 134  | B8  | 54  | 2u  | octunbieleven                     | octunbielevenary                    | OCB  |
| 185  | 505   | 135  | B9  | 55  | 2v  | pentunnift                        | pentunniftimal                      | PEF  |
| 186  | 510   | 136  | BA  | 56  | 2w  | hexunpentasex                     | hexunpentaseximal                   | HXP  |
| 187  | 511   | 137  | BB  | 57  | 2x  | levasubopt                        | levasuboptimal                      | LES  |
| 188  | 512   | 138  | BC  | 58  | 2y  | tetrunbinbieleven                 | tetrunbinbielevenary                | TEB  |
| 189  | 513   | 139  | BD  | 59  | 2z  | ennatrisept                       | ennatriseptimal                     | ETS  |
| 190  | 514   | 13E  | BE  | 5A  | 2-  | decuntrisex                       | decuntriseximal                     | DEN  |
| 191  | 515   | 13X  | BF  | 5B  | 2_  | undecuntrisex                     | undecuntriseximal                   | UDN  |
| 192  | 520   | 140  | C0  | 5C  | 30  | dozahex                           | dozahex                             | DOH  |
| 193  | 521   | 141  | C1  | 5D  | 31  | undozahex                         | undozahex                           | UDZ  |
| 194  | 522   | 142  | C2  | 5E  | 32  | binoctodozen                      | binoctodozenal                      | BCT  |
| 195  | 523   | 143  | C3  | 5F  | 33  | bakertriquin                      | bakertriquinary                     | BAT  |
| 196  | 524   | 144  | C4  | 5G  | 34  | heptatetrasept                    | heptatetraseptimal                  | HPR  |
| 197  | 525   | 145  | C5  | 5H  | 35  | unheptatetrasept                  | unheptatetraseptimal                | UPT  |
| 198  | 530   | 146  | C6  | 5I  | 36  | levatrisex                        | levatriseximal                      | LVT  |
| 199  | 531   | 147  | C7  | 5J  | 37  | unlevatrisex                      | unlevatriseximal                    | UNL  |
| 200  | 532   | 148  | C8  | 5K  | 38  | decaviges                         | decavigesimal                       | DEV  |
| 201  | 533   | 149  | C9  | 5L  | 39  | trinhexeleven                     | trinhexelevenary                    | TNH  |
| 202  | 534   | 14E  | CA  | 5M  | 3A  | bincent                           | bincentesimal                       | BCN  |
| 203  | 535   | 14X  | CB  | 5N  | 3B  | heptuntetrasept                   | heptuntetraseptimal                 | HNT  |
| 204  | 540   | 150  | CC  | 5O  | 3C  | dozasubopt                        | dozasuboptimal                      | DOS  |
| 205  | 541   | 151  | CD  | 5P  | 3D  | pentunpentoct                     | pentunpentoctal                     | PTP  |
| 206  | 542   | 152  | CE  | 5Q  | 3E  | binhexasubopt                     | binhexasuboptimal                   | BHX  |
| 207  | 543   | 153  | CF  | 5R  | 3F  | ennunbieleven                     | ennunbielevenary                    | EBL  |
| 208  | 544   | 154  | D0  | 5S  | 3G  | bakerhex                          | bakerhex                            | BAH  |
| 209  | 545   | 155  | D1  | 5T  | 3H  | levuntrisex                       | levuntriseximal                     | LEN  |
| 210  | 550   | 156  | D2  | 5U  | 3I  | decatrisept                       | decatriseptimal                     | DCT  |
| 211  | 551   | 157  | D3  | 5V  | 3J  | undecatrisept                     | undecatriseptimal                   | UDT  |
| 212  | 552   | 158  | D4  | 5W  | 3K  | tetruntetraker's dozen            | tetruntetraker's dozenal            | TNT  |
| 213  | 553   | 159  | D5  | 5X  | 3L  | trinheptages                      | trinheptagesimal                    | TNP  |
| 214  | 554   | 15E  | D6  | 5Y  | 3M  | binbintetraker's dozen            | binbintetraker's dozenal            | BIR  |
| 215  | 555   | 15X  | D7  | 5Z  | 3N  | pentunhexasept                    | pentunhexaseptimal                  | PEH  |
| 216  | 1000  | 160  | D8  | 60  | 3O  | hexanift                          | hexaniftimal                        | HEF  |
| 217  | 1001  | 161  | D9  | 61  | 3P  | heptunpentasex                    | heptunpentaseximal                  | HTP  |
| 218  | 1002  | 162  | DA  | 62  | 3Q  | binennadozen                      | binennadozenal                      | BID  |
| 219  | 1003  | 163  | DB  | 63  | 3R  | trinoctonon                       | trinoctononary                      | TRC  |
| 220  | 1004  | 164  | DC  | 64  | 3S  | levaviges                         | levavigesimal                       | LVV  |
| 221  | 1005  | 165  | DD  | 65  | 3T  | bakersubopt                       | bakersuboptimal                     | BAS  |
| 222  | 1010  | 166  | DE  | 66  | 3U  | hexunnift                         | hexunniftimal                       | HNN  |
| 223  | 1011  | 167  | DF  | 67  | 3V  | unhexunnift                       | unhexunniftimal                     | UXN  |
| 224  | 1012  | 168  | E0  | 68  | 3W  | biheptahex                        | biheptahex                          | BHT  |
| 225  | 1013  | 169  | E1  | 69  | 3X  | ennapentaquin                     | ennapentaquinary                    | ENP  |
| 226  | 1014  | 16E  | E2  | 6A  | 3Y  | binheptahex                       | binheptahex                         | BPT  |
| 227  | 1015  | 16X  | E3  | 6B  | 3Z  | unbinheptahex                     | unbinheptahex                       | UBH  |
| 228  | 1020  | 170  | E4  | 6C  | 3a  | dozuntrisex                       | dozuntriseximal                     | DON  |
| 229  | 1021  | 171  | E5  | 6D  | 3b  | undozuntrisex                     | undozuntriseximal                   | UZN  |
| 230  | 1022  | 172  | E6  | 6E  | 3c  | decunbieleven                     | decunbielevenary                    | DCN  |
| 231  | 1023  | 173  | E7  | 6F  | 3d  | levatrisept                       | levatriseptimal                     | LER  |
| 232  | 1024  | 174  | E8  | 6G  | 3e  | octuntetrasept                    | octuntetraseptimal                  | OTT  |
| 233  | 1025  | 175  | E9  | 6H  | 3f  | unoctuntetrasept                  | unoctuntetraseptimal                | UCT  |
| 234  | 1030  | 176  | EA  | 6I  | 3g  | bakertrisex                       | bakertriseximal                     | BKT  |
| 235  | 1031  | 177  | EB  | 6J  | 3h  | pentunbinbieleven                 | pentunbinbielevenary                | PNB  |
| 236  | 1032  | 178  | EC  | 6K  | 3i  | tetrunbintetrasept                | tetrunbintetraseptimal              | TTB  |
| 237  | 1033  | 179  | ED  | 6L  | 3j  | trinhexaker's dozen               | trinhexaker's dozenal               | TRX  |
| 238  | 1034  | 17E  | EE  | 6M  | 3k  | biheptasubopt                     | biheptasuboptimal                   | BHS  |
| 239  | 1035  | 17X  | EF  | 6N  | 3l  | unbiheptasubopt                   | unbiheptasuboptimal                 | UBS  |
| 240  | 1040  | 180  | F0  | 6O  | 3m  | dozaviges                         | dozavigesimal                       | DOV  |
| 241  | 1041  | 181  | F1  | 6P  | 3n  | undozaviges                       | undozavigesimal                     | UDV  |
| 242  | 1042  | 182  | F2  | 6Q  | 3o  | levabieleven                      | levabielevenary                     | LVB  |
| 243  | 1043  | 183  | F3  | 6R  | 3p  | ennatrinon                        | ennatrinonary                       | ETN  |
| 244  | 1044  | 184  | F4  | 6S  | 3q  | tetrunhexages                     | tetrunhexagesimal                   | TTH  |
| 245  | 1045  | 185  | F5  | 6T  | 3r  | heptapentasept                    | heptapentaseptimal                  | HTS  |
| 246  | 1050  | 186  | F6  | 6U  | 3s  | hexunpentoct                      | hexunpentoctal                      | HNP  |
| 247  | 1051  | 187  | F7  | 6V  | 3t  | bakeruntrisex                     | bakeruntriseximal                   | BAN  |
| 248  | 1052  | 188  | F8  | 6W  | 3u  | octunpentasex                     | octunpentaseximal                   | OCP  |
| 249  | 1053  | 189  | F9  | 6X  | 3v  | trinbinpentoct                    | trinbinpentoctal                    | TBP  |
| 250  | 1054  | 18E  | FA  | 6Y  | 3w  | decapentaquin                     | decapentaquinary                    | DEP  |
| 251  | 1055  | 18X  | FB  | 6Z  | 3x  | undecapentaquin                   | undecapentaquinary                  | UDP  |
| 252  | 1100  | 190  | FC  | 70  | 3y  | heptanift                         | heptaniftimal                       | HPF  |
| 253  | 1101  | 191  | FD  | 71  | 3z  | levunbieleven                     | levunbielevenary                    | LVN  |
| 254  | 1102  | 192  | FE  | 72  | 3-  | binennabisept                     | binennabiseptimal                   | BNS  |
| 255  | 1103  | 193  | FF  | 73  | 3_  | tripentasubopt                    | tripentasuboptimal                  | TPN  |
| 256  | 1104  | 194  | 100 | 74  | 40  | tesserhex                         | tesserhex                           | TSS  |
| 257  | 1105  | 195  | 101 | 75  | 41  | untesserhex                       | untesserhex                         | UTS  |
