                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 503  | 2155  | 35X  | 1F7 | DZ  | 7t  | unbindecapentaquin                | unbindecapentaquinary               | UNQ  |
| 504  | 2200  | 360  | 1F8 | E0  | 7u  | biheptanift                       | biheptaniftimal                     | BHF  |
| 505  | 2201  | 361  | 1F9 | E1  | 7v  | pentuncent                        | pentuncentesimal                    | PNS  |
| 506  | 2202  | 362  | 1FA | E2  | 7w  | bilevunbieleven                   | bilevunbielevenary                  | BLV  |
| 507  | 2203  | 363  | 1FB | E3  | 7x  | bakertriker's dozen               | bakertriker's dozenal               | BKK  |
| 508  | 2204  | 364  | 1FC | E4  | 7y  | tetrunennabisept                  | tetrunennabiseptimal                | TBS  |
| 509  | 2205  | 365  | 1FD | E5  | 7z  | untetrunennabisept                | untetrunennabiseptimal              | UTB  |
| 510  | 2210  | 366  | 1FE | E6  | 7-  | malpentasex                       | malpentaseximal                     | MLP  |
| 511  | 2211  | 367  | 1FF | E7  | 7_  | heptunoctonon                     | heptunoctononary                    | HTC  |
| 512  | 2212  | 368  | 200 | E8  | 80  | tessertetroct                     | tessertetroctal                     | TSC  |
| 513  | 2213  | 369  | 201 | E9  | 81  | hentrihexasnatrinon               | hentrihexasnatrinonary              | HHS  |
| 514  | 2214  | 36E  | 202 | EA  | 82  | bintesserhex                      | bintesserhex                        | BTS  |
| 515  | 2215  | 36X  | 203 | EB  | 83  | pentunhexasubopt                  | pentunhexasuboptimal                | PNX  |
| 516  | 2220  | 370  | 204 | EC  | 84  | dozunhexasept                     | dozunhexaseptimal                   | DZH  |
| 517  | 2221  | 371  | 205 | ED  | 85  | levunbinbieleven                  | levunbinbielevenary                 | LNB  |
| 518  | 2222  | 372  | 206 | EE  | 86  | biheptunnift                      | biheptunniftimal                    | BPF  |
| 519  | 2223  | 373  | 207 | EF  | 87  | trintetrunhexasept                | trintetrunhexaseptimal              | THS  |
| 520  | 2224  | 374  | 208 | EG  | 88  | icosibiker's dozen                | icosibiker's dozenal                | ICB  |
| 521  | 2225  | 375  | 209 | EH  | 89  | unicosibiker's dozen              | unicosibiker's dozenal              | UIB  |
| 522  | 2230  | 376  | 20A | EI  | 8A  | trihexuntetrasept                 | trihexuntetraseptimal               | TXT  |
| 523  | 2231  | 377  | 20B | EJ  | 8B  | untrihexuntetrasept               | untrihexuntetraseptimal             | URX  |
| 524  | 2232  | 378  | 20C | EK  | 8C  | tetrundecaker's dozen             | tetrundecaker's dozenal             | TDC  |
| 525  | 2233  | 379  | 20D | EL  | 8D  | triheptapentaquin                 | triheptapentaquinary                | TIQ  |
| 526  | 2234  | 37E  | 20E | EM  | 8E  | binbindecaker's dozen             | binbindecaker's dozenal             | BBD  |
| 527  | 2235  | 37X  | 20F | EN  | 8F  | malunpentasex                     | malunpentaseximal                   | MNP  |
| 528  | 2240  | 380  | 210 | EO  | 8G  | tessertrieleven                   | tessertrielevenary                  | TSV  |
| 529  | 2241  | 381  | 211 | EP  | 8H  | henbilevasnunbieleven             | henbilevasnunbielevenary            | HNL  |
| 530  | 2242  | 382  | 212 | EQ  | 8I  | decuntetraker's dozen             | decuntetraker's dozenal             | DTT  |
| 531  | 2243  | 383  | 213 | ER  | 8J  | ennunbintetrasept                 | ennunbintetraseptimal               | EBT  |
| 532  | 2244  | 384  | 214 | ES  | 8K  | hentrihexasnatetrasept            | hentrihexasnatetraseptimal          | HRN  |
| 533  | 2245  | 385  | 215 | ET  | 8L  | bakerunpentoct                    | bakerunpentoctal                    | BAC  |
| 534  | 2250  | 386  | 216 | EU  | 8M  | hexunocteleven                    | hexunoctelevenary                   | HNC  |
| 535  | 2251  | 387  | 217 | EV  | 8N  | pentunbintetraker's dozen         | pentunbintetraker's dozenal         | PBT  |
| 536  | 2252  | 388  | 218 | EW  | 8O  | octunhexeleven                    | octunhexelevenary                   | OCX  |
| 537  | 2253  | 389  | 219 | EX  | 8P  | trinbinocteleven                  | trinbinoctelevenary                 | TBC  |
| 538  | 2254  | 38E  | 21A | EY  | 8Q  | bintetrunhexeleven                | bintetrunhexelevenary               | BTH  |
| 539  | 2255  | 38X  | 21B | EZ  | 8R  | levaheptasept                     | levaheptaseptimal                   | LHP  |
| 540  | 2300  | 390  | 21C | F0  | 8S  | icositrinon                       | icositrinonary                      | IOT  |
| 541  | 2301  | 391  | 21D | F1  | 8T  | unicositrinon                     | unicositrinonary                    | UIT  |
| 542  | 2302  | 392  | 21E | F2  | 8U  | bindecatrinon                     | bindecatrinonary                    | BDR  |
| 543  | 2303  | 393  | 21F | F3  | 8V  | trinennaviges                     | trinennavigesimal                   | TRV  |
| 544  | 2304  | 394  | 220 | F4  | 8W  | maltetroct                        | maltetroctal                        | MTR  |
| 545  | 2305  | 395  | 221 | F5  | 8X  | pentunennadozen                   | pentunennadozenal                   | PED  |
| 546  | 2310  | 396  | 222 | F6  | 8Y  | bakerhexasept                     | bakerhexaseptimal                   | BKH  |
| 547  | 2311  | 397  | 223 | F7  | 8Z  | unbakerhexasept                   | unbakerhexaseptimal                 | UKR  |
| 548  | 2312  | 398  | 224 | F8  | 8a  | tetrunoctosubopt                  | tetrunoctosuboptimal                | TCB  |
| 549  | 2313  | 399  | 225 | F9  | 8b  | ennunhexages                      | ennunhexagesimal                    | EHG  |
| 550  | 2314  | 39E  | 226 | FA  | 8c  | levapentages                      | levapentagesimal                    | LEG  |
| 551  | 2315  | 39X  | 227 | FB  | 8d  | hentrihexasnuntetrasept           | hentrihexasnuntetraseptimal         | HHN  |
| 552  | 2320  | 3E0  | 228 | FC  | 8e  | henbilevasnatetrasex              | henbilevasnatetraseximal            | HBL  |
| 553  | 2321  | 3E1  | 229 | FD  | 8f  | heptunhexaker's dozen             | heptunhexaker's dozenal             | HTK  |
| 554  | 2322  | 3E2  | 22A | FE  | 8g  | bindozunbieleven                  | bindozunbielevenary                 | BZN  |
| 555  | 2323  | 3E3  | 22B | FF  | 8h  | tripentunnift                     | tripentunniftimal                   | TIF  |
| 556  | 2324  | 3E4  | 22C | FG  | 8i  | tetrunhexunbieleven               | tetrunhexunbielevenary              | TXB  |
| 557  | 2325  | 3E5  | 22D | FH  | 8j  | untetrunhexunbieleven             | untetrunhexunbielevenary            | URB  |
| 558  | 2330  | 3E6  | 22E | FI  | 8k  | trihexunpentasex                  | trihexunpentaseximal                | TXP  |
| 559  | 2331  | 3E7  | 22F | FJ  | 8l  | bakerunhexasept                   | bakerunhexaseptimal                 | BRH  |
| 560  | 2332  | 3E8  | 230 | FK  | 8m  | icositetrasept                    | icositetraseptimal                  | IST  |
| 561  | 2333  | 3E9  | 231 | FL  | 8n  | maltrieleven                      | maltrielevenary                     | MLL  |
| 562  | 2334  | 3EE  | 232 | FM  | 8o  | binbiheptaviges                   | binbiheptavigesimal                 | BBV  |
| 563  | 2335  | 3EX  | 233 | FN  | 8p  | unbinbiheptaviges                 | unbinbiheptavigesimal               | UHV  |
| 564  | 2340  | 3X0  | 234 | FO  | 8q  | dozunbinbieleven                  | dozunbinbielevenary                 | DNB  |
| 565  | 2341  | 3X1  | 235 | FP  | 8r  | pentunheptahex                    | pentunheptahex                      | PHT  |
| 566  | 2342  | 3X2  | 236 | FQ  | 8s  | binhexunbinbieleven               | binhexunbinbielevenary              | BHB  |
| 567  | 2343  | 3X3  | 237 | FR  | 8t  | ennaheptanon                      | ennaheptanonary                     | EHT  |
| 568  | 2344  | 3X4  | 238 | FS  | 8u  | octunheptages                     | octunheptagesimal                   | ONP  |
| 569  | 2345  | 3X5  | 239 | FT  | 8v  | unoctunheptages                   | unoctunheptagesimal                 | UON  |
| 570  | 2350  | 3X6  | 23A | FU  | 8w  | hentrihexasnapentasex             | hentrihexasnapentaseximal           | HSN  |
| 571  | 2351  | 3X7  | 23B | FV  | 8x  | unhentrihexasnapentasex           | unhentrihexasnapentaseximal         | URS  |
| 572  | 2352  | 3X8  | 23C | FW  | 8y  | bakertetreleven                   | bakertetrelevenary                  | BKL  |
| 573  | 2353  | 3X9  | 23D | FX  | 8z  | trindecuntrisex                   | trindecuntriseximal                 | TDN  |
| 574  | 2354  | 3XE  | 23E | FY  | 8-  | biheptunpentoct                   | biheptunpentoctal                   | BTP  |
| 575  | 2355  | 3XX  | 23F | FZ  | 8_  | henbilevasnapentaquin             | henbilevasnapentaquinary            | HNV  |
| 576  | 2400  | 400  | 240 | G0  | 90  | tessernift                        | tesserniftimal                      | TSF  |
| 577  | 2401  | 401  | 241 | G1  | 91  | untessernift                      | untesserniftimal                    | USN  |
| 578  | 2402  | 402  | 242 | G2  | 92  | malbisubopt                       | malbisuboptimal                     | MAS  |
| 579  | 2403  | 403  | 243 | G3  | 93  | trindozahex                       | trindozahex                         | TIZ  |
| 580  | 2404  | 404  | 244 | G4  | 94  | icosintetrasept                   | icosintetraseptimal                 | ION  |
| 581  | 2405  | 405  | 245 | G5  | 95  | heptunbinpentoct                  | heptunbinpentoctal                  | HBT  |
| 582  | 2410  | 406  | 246 | G6  | 96  | hexunoctodozen                    | hexunoctodozenal                    | HCT  |
| 583  | 2411  | 407  | 247 | G7  | 97  | levuntetraker's dozen             | levuntetraker's dozenal             | LNR  |
| 584  | 2412  | 408  | 248 | G8  | 98  | octunoctonon                      | octunoctononary                     | OTC  |
| 585  | 2413  | 409  | 249 | G9  | 99  | bakerpentanon                     | bakerpentanonary                    | BAKR |
| 586  | 2414  | 40E  | 24A | GA  | 9A  | bintetrunoctonon                  | bintetrunoctononary                 | BTC  |
| 587  | 2415  | 40X  | 24B | GB  | 9B  | unbintetrunoctonon                | unbintetrunoctononary               | URT  |
| 588  | 2420  | 410  | 24C | GC  | 9C  | dozaheptasept                     | dozaheptaseptimal                   | DZT  |
| 589  | 2421  | 411  | 24D | GD  | 9D  | hentrihexasnunpentasex            | hentrihexasnunpentaseximal          | HRP  |
| 590  | 2422  | 412  | 24E | GE  | 9E  | decunbintetrasept                 | decunbintetraseptimal               | DCB  |
| 591  | 2423  | 413  | 24F | GF  | 9F  | trinheptatetrasept                | trinheptatetraseptimal              | THR  |
| 592  | 2424  | 414  | 250 | GG  | 9G  | tesserunnift                      | tesserunniftimal                    | TNF  |
| 593  | 2425  | 415  | 251 | GH  | 9H  | untesserunnift                    | untesserunniftimal                  | UTF  |
| 594  | 2430  | 416  | 252 | GI  | 9I  | levahexanon                       | levahexanonary                      | LEX  |
| 595  | 2431  | 417  | 253 | GJ  | 9J  | malpentasept                      | malpentaseptimal                    | MPN  |
| 596  | 2432  | 418  | 254 | GK  | 9K  | tetruntetrunnift                  | tetruntetrunniftimal                | TTF  |
| 597  | 2433  | 419  | 255 | GL  | 9L  | trinlevatrisex                    | trinlevatriseximal                  | TIL  |
| 598  | 2434  | 41E  | 256 | GM  | 9M  | henbilevasnabiker's dozen         | henbilevasnabiker's dozenal         | HBV  |
| 599  | 2435  | 41X  | 257 | GN  | 9N  | unhenbilevasnabiker's dozen       | unhenbilevasnabiker's dozenal       | UHL  |
| 600  | 2440  | 420  | 258 | GO  | 9O  | hexacent                          | hexacentesimal                      | HCN  |
| 601  | 2441  | 421  | 259 | GP  | 9P  | unhexacent                        | unhexacentesimal                    | UXC  |
| 602  | 2442  | 422  | 25A | GQ  | 9Q  | biheptunhexasept                  | biheptunhexaseptimal                | BHH  |
| 603  | 2443  | 423  | 25B | GR  | 9R  | ennunhexeleven                    | ennunhexelevenary                   | EHL  |
| 604  | 2444  | 424  | 25C | GS  | 9S  | tetrundecatriquin                 | tetrundecatriquinary                | TDT  |
| 605  | 2445  | 425  | 25D | GT  | 9T  | levapenteleven                    | levapentelevenary                   | LVL  |
| 606  | 2450  | 426  | 25E | GU  | 9U  | hexuncent                         | hexuncentesimal                     | HCS  |
| 607  | 2451  | 427  | 25F | GV  | 9V  | unhexuncent                       | unhexuncentesimal                   | UXT  |
| 608  | 2452  | 428  | 260 | GW  | 9W  | hentrihexasnatetroct              | hentrihexasnatetroctal              | HRT  |
| 609  | 2453  | 429  | 261 | GX  | 9X  | triheptuntetrasept                | triheptuntetraseptimal              | TPR  |
| 610  | 2454  | 42E  | 262 | GY  | 9Y  | decunhexages                      | decunhexagesimal                    | DNH  |
| 611  | 2455  | 42X  | 263 | GZ  | 9Z  | bakerunbinbieleven                | bakerunbinbielevenary               | BRB  |
| 612  | 2500  | 430  | 264 | H0  | 9a  | malnift                           | malniftimal                         | MAF  |
| 613  | 2501  | 431  | 265 | H1  | 9b  | unmalnift                         | unmalniftimal                       | UMN  |
| 614  | 2502  | 432  | 266 | H2  | 9c  | binmaltrisex                      | binmaltriseximal                    | BIM  |
| 615  | 2503  | 433  | 267 | H3  | 9d  | tripentunpentoct                  | tripentunpentoctal                  | TPC  |
| 616  | 2504  | 434  | 268 | H4  | 9e  | levaheptoct                       | levaheptoctal                       | LHT  |
| 617  | 2505  | 435  | 269 | H5  | 9f  | unlevaheptoct                     | unlevaheptoctal                     | UVH  |
| 618  | 2510  | 436  | 26A | H6  | 9g  | hexunhexasubopt                   | hexunhexasuboptimal                 | HHB  |
| 619  | 2511  | 437  | 26B | H7  | 9h  | unhexunhexasubopt                 | unhexunhexasuboptimal               | UXH  |
| 620  | 2512  | 438  | 26C | H8  | 9i  | icosinpentasex                    | icosinpentaseximal                  | ISN  |
| 621  | 2513  | 439  | 26D | H9  | 9j  | henbilevasnatrinon                | henbilevasnatrinonary               | HLV  |
| 622  | 2514  | 43E  | 26E | HA  | 9k  | bindecunpentasex                  | bindecunpentaseximal                | BCP  |
| 623  | 2515  | 43X  | 26F | HB  | 9l  | heptunocteleven                   | heptunoctelevenary                  | HCL  |
| 624  | 2520  | 440  | 270 | HC  | 9m  | tessertriker's dozen              | tessertriker's dozenal              | TTK  |
| 625  | 2521  | 441  | 271 | HD  | 9n  | pentapentapentaquin               | pentapentapentaquinary              | PPN  |
| 626  | 2522  | 442  | 272 | HE  | 9o  | binbakertetrasex                  | binbakertetraseximal                | BNK  |
| 627  | 2523  | 443  | 273 | HF  | 9p  | hentrihexasnatrieleven            | hentrihexasnatrielevenary           | HST  |
| 628  | 2524  | 444  | 274 | HG  | 9q  | tetrundozaker's dozen             | tetrundozaker's dozenal             | TEZ  |
| 629  | 2525  | 445  | 275 | HH  | 9r  | malunnift                         | malunniftimal                       | MNN  |
| 630  | 2530  | 446  | 276 | HI  | 9s  | decaheptanon                      | decaheptanonary                     | DHT  |
| 631  | 2531  | 447  | 277 | HJ  | 9t  | undecaheptanon                    | undecaheptanonary                   | UPR  |
| 632  | 2532  | 448  | 278 | HK  | 9u  | octunhexaker's dozen              | octunhexaker's dozenal              | OTX  |
| 633  | 2533  | 449  | 279 | HL  | 9v  | trindecatrisept                   | trindecatriseptimal                 | TDR  |
| 634  | 2534  | 44E  | 27A | HM  | 9w  | bintetrunhexaker's dozen          | bintetrunhexaker's dozenal          | BTX  |
| 635  | 2535  | 44X  | 27B | HN  | 9x  | pentunennabisept                  | pentunennabiseptimal                | PTS  |
| 636  | 2540  | 450  | 27C | HO  | 9y  | dozuntetraker's dozen             | dozuntetraker's dozenal             | DOR  |
| 637  | 2541  | 451  | 27D | HP  | 9z  | bakerheptasept                    | bakerheptaseptimal                  | BSP  |
| 638  | 2542  | 452  | 27E | HQ  | 9-  | bilevuntetrasept                  | bilevuntetraseptimal                | BLN  |
| 639  | 2543  | 453  | 27F | HR  | 9_  | ennunheptages                     | ennunheptagesimal                   | EPG  |
| 640  | 2544  | 454  | 280 | HS  | A0  | icositetroct                      | icositetroctal                      | ITT  |
| 641  | 2545  | 455  | 281 | HT  | A1  | unicositetroct                    | unicositetroctal                    | UIR  |
| 642  | 2550  | 456  | 282 | HU  | A2  | hexunbintetraker's dozen          | hexunbintetraker's dozenal          | HBR  |
| 643  | 2551  | 457  | 283 | HV  | A3  | unhexunbintetraker's dozen        | unhexunbintetraker's dozenal        | UXR  |
| 644  | 2552  | 458  | 284 | HW  | A4  | henbilevasnatetrasept             | henbilevasnatetraseptimal           | HBS  |
| 645  | 2553  | 459  | 285 | HX  | A5  | tripentunhexasept                 | tripentunhexaseptimal               | TPH  |
| 646  | 2554  | 45E  | 286 | HY  | A6  | hentrihexasnabisubopt             | hentrihexasnabisuboptimal           | HRB  |
| 647  | 2555  | 45X  | 287 | HZ  | A7  | unhentrihexasnabisubopt           | unhentrihexasnabisuboptimal         | UXS  |
| 648  | 3000  | 460  | 288 | I0  | A8  | trihexanift                       | trihexaniftimal                     | THF  |
| 649  | 3001  | 461  | 289 | I1  | A9  | levunbintetrasept                 | levunbintetraseptimal               | LBN  |
| 650  | 3002  | 462  | 28A | I2  | AA  | bakerpentages                     | bakerpentagesimal                   | BAG  |
| 651  | 3003  | 463  | 28B | I3  | AB  | triheptunpentasex                 | triheptunpentaseximal               | TRM  |
| 652  | 3004  | 464  | 28C | I4  | AC  | tetrunennatrisex                  | tetrunennatriseximal                | TTM  |
| 653  | 3005  | 465  | 28D | I5  | AD  | untetrunennatrisex                | untetrunennatriseximal              | URR  |
| 654  | 3010  | 466  | 28E | I6  | AE  | hexunennadozen                    | hexunennadozenal                    | HXD  |
| 655  | 3011  | 467  | 28F | I7  | AF  | pentundecaker's dozen             | pentundecaker's dozenal             | PND  |
| 656  | 3012  | 468  | 290 | I8  | AG  | tesserunpentoct                   | tesserunpentoctal                   | TESS |
| 657  | 3013  | 469  | 291 | I9  | AH  | ennunoctonon                      | ennunoctononary                     | ECT  |
| 658  | 3014  | 46E  | 292 | IA  | AI  | biheptunbinbieleven               | biheptunbinbielevenary              | BPB  |
| 659  | 3015  | 46X  | 293 | IB  | AJ  | unbiheptunbinbieleven             | unbiheptunbinbielevenary            | UPB  |
| 660  | 3020  | 470  | 294 | IC  | AK  | icositrieleven                    | icositrielevenary                   | ICR  |
| 661  | 3021  | 471  | 295 | ID  | AL  | unicositrieleven                  | unicositrielevenary                 | UIL  |
| 662  | 3022  | 472  | 296 | IE  | AM  | binlevapentasex                   | binlevapentaseximal                 | BNL  |
| 663  | 3023  | 473  | 297 | IF  | AN  | maltriker's dozen                 | maltriker's dozenal                 | MAK  |
| 664  | 3024  | 474  | 298 | IG  | AO  | octunbinpentoct                   | octunbinpentoctal                   | OBN  |
| 665  | 3025  | 475  | 299 | IH  | AP  | hentrihexasnapentasept            | hentrihexasnapentaseptimal          | HSP  |
| 666  | 3030  | 476  | 29A | II  | AQ  | trihexunnift                      | trihexunniftimal                    | TXF  |
| 667  | 3031  | 477  | 29B | IJ  | AR  | henbilevasnuntetrasept            | henbilevasnuntetraseptimal          | HLS  |
| 668  | 3032  | 478  | 29C | IK  | AS  | tetrunbinbinpentoct               | tetrunbinbinpentoctal               | TETR |
| 669  | 3033  | 479  | 29D | IL  | AT  | trinhexunnift                     | trinhexunniftimal                   | TFT  |
| 670  | 3034  | 47E  | 29E | IM  | AU  | decunhexeleven                    | decunhexelevenary                   | DEX  |
| 671  | 3035  | 47X  | 29F | IN  | AV  | levunhexages                      | levunhexagesimal                    | LVX  |
| 672  | 3040  | 480  | 2A0 | IO  | AW  | tesserhexasept                    | tesserhexaseptimal                  | TSH  |
| 673  | 3041  | 481  | 2A1 | IP  | AX  | untesserhexasept                  | untesserhexaseptimal                | USH  |
| 674  | 3042  | 482  | 2A2 | IQ  | AY  | bintessertrisept                  | bintessertriseptimal                | BSS  |
| 675  | 3043  | 483  | 2A3 | IR  | AZ  | pentapentatrinon                  | pentapentatrinonary                 | PPT  |
| 676  | 3044  | 484  | 2A4 | IS  | Aa  | bakertetraker's dozen             | bakertetraker's dozenal             | BRK  |
| 677  | 3045  | 485  | 2A5 | IT  | Ab  | unbakertetraker's dozen           | unbakertetraker's dozenal           | UKT  |
| 678  | 3050  | 486  | 2A6 | IU  | Ac  | hexunheptahex                     | hexunheptahex                       | HHH  |
| 679  | 3051  | 487  | 2A7 | IV  | Ad  | heptunoctodozen                   | heptunoctodozenal                   | HPD  |
| 680  | 3052  | 488  | 2A8 | IW  | Ae  | icosibisubopt                     | icosibisuboptimal                   | IOB  |
| 681  | 3053  | 489  | 2A9 | IX  | Af  | trinbinheptahex                   | trinbinheptahex                     | TBH  |
| 682  | 3054  | 48E  | 2AA | IY  | Ag  | bilevunpentasex                   | bilevunpentaseximal                 | BVN  |
| 683  | 3055  | 48X  | 2AB | IZ  | Ah  | unbilevunpentasex                 | unbilevunpentaseximal               | UVN  |
| 684  | 3100  | 490  | 2AC | J0  | Ai  | hentrihexasnanift                 | hentrihexasnaniftimal               | HNF  |
| 685  | 3101  | 491  | 2AD | J1  | Aj  | pentunoctosubopt                  | pentunoctosuboptimal                | PCS  |
| 686  | 3102  | 492  | 2AE | J2  | Ak  | biheptaheptasept                  | biheptaheptaseptimal                | BPH  |
| 687  | 3103  | 493  | 2AF | J3  | Al  | trindozuntrisex                   | trindozuntriseximal                 | TNZ  |
| 688  | 3104  | 494  | 2B0 | J4  | Am  | tesserunhexasept                  | tesserunhexaseptimal                | TXS  |
| 689  | 3105  | 495  | 2B1 | J5  | An  | bakeruntetraker's dozen           | bakeruntetraker's dozenal           | BTK  |
| 690  | 3110  | 496  | 2B2 | J6  | Ao  | henbilevasnapentasex              | henbilevasnapentaseximal            | HVS  |
| 691  | 3111  | 497  | 2B3 | J7  | Ap  | unhenbilevasnapentasex            | unhenbilevasnapentaseximal          | ULS  |
| 692  | 3112  | 498  | 2B4 | J8  | Aq  | tetruntetrunhexasept              | tetruntetrunhexaseptimal            | TNM  |
| 693  | 3113  | 499  | 2B5 | J9  | Ar  | levaheptanon                      | levaheptanonary                     | LHN  |
| 694  | 3114  | 49E  | 2B6 | JA  | As  | binbintetrunhexasept              | binbintetrunhexaseptimal            | BBR  |
| 695  | 3115  | 49X  | 2B7 | JB  | At  | pentunhexunbieleven               | pentunhexunbielevenary              | PTX  |
| 696  | 3120  | 4E0  | 2B8 | JC  | Au  | tetrahexuntetrasept               | tetrahexuntetraseptimal             | TXR  |
| 697  | 3121  | 4E1  | 2B9 | JD  | Av  | malunpentoct                      | malunpentoctal                      | MPT  |
| 698  | 3122  | 4E2  | 2BA | JE  | Aw  | bindozuntetrasept                 | bindozuntetraseptimal               | BZT  |
| 699  | 3123  | 4E3  | 2BB | JF  | Ax  | trinoctuntetrasept                | trinoctuntetraseptimal              | TCR  |
| 700  | 3124  | 4E4  | 2BC | JG  | Ay  | heptacent                         | heptacentesimal                     | HEM  |
| 701  | 3125  | 4E5  | 2BD | JH  | Az  | unheptacent                       | unheptacentesimal                   | UPC  |
| 702  | 3130  | 4E6  | 2BE | JI  | A-  | bakerhexanon                      | bakerhexanonary                     | BAX  |
| 703  | 3131  | 4E7  | 2BF | JJ  | A_  | hentrihexasnunnift                | hentrihexasnunniftimal              | HRF  |
| 704  | 3132  | 4E8  | 2C0 | JK  | B0  | tessertetreleven                  | tessertetrelevenary                 | TTV  |
| 705  | 3133  | 4E9  | 2C1 | JL  | B1  | tripentunbinbieleven              | tripentunbinbielevenary             | TPL  |
| 706  | 3134  | 4EE  | 2C2 | JM  | B2  | bintesserbieleven                 | bintesserbielevenary                | BSR  |
| 707  | 3135  | 4EX  | 2C3 | JN  | B3  | heptuncent                        | heptuncentesimal                    | HPM  |
| 708  | 3140  | 4X0  | 2C4 | JO  | B4  | dozunbintetrasept                 | dozunbintetraseptimal               | DBN  |
| 709  | 3141  | 4X1  | 2C5 | JP  | B5  | undozunbintetrasept               | undozunbintetraseptimal             | UZB  |
| 710  | 3142  | 4X2  | 2C6 | JQ  | B6  | decunheptages                     | decunheptagesimal                   | DEG  |
| 711  | 3143  | 4X3  | 2C7 | JR  | B7  | ennunhexaker's dozen              | ennunhexaker's dozenal              | EHK  |
| 712  | 3144  | 4X4  | 2C8 | JS  | B8  | octunocteleven                    | octunoctelevenary                   | ONC  |
| 713  | 3145  | 4X5  | 2C9 | JT  | B9  | henbilevasnunpentasex             | henbilevasnunpentaseximal           | HLN  |
| 714  | 3150  | 4X6  | 2CA | JU  | BA  | malhexasept                       | malhexaseptimal                     | MAH  |
| 715  | 3151  | 4X7  | 2CB | JV  | BB  | bakerpenteleven                   | bakerpentelevenary                  | BRL  |
| 716  | 3152  | 4X8  | 2CC | JW  | BC  | tetrunbinocteleven                | tetrunbinoctelevenary               | TNL  |
| 717  | 3153  | 4X9  | 2CD | JX  | BD  | trinbiheptasubopt                 | trinbiheptasuboptimal               | TIM  |
| 718  | 3154  | 4XE  | 2CE | JY  | BE  | binbinbinocteleven                | binbinbinoctelevenary               | BBL  |
| 719  | 3155  | 4XX  | 2CF | JZ  | BF  | unbinbinbinocteleven              | unbinbinbinoctelevenary             | UCL  |
| 720  | 3200  | 500  | 2D0 | K0  | BG  | icosinift                         | icosiniftimal                       | ICF  |
| 721  | 3201  | 501  | 2D1 | K1  | BH  | heptunhexasubopt                  | heptunhexasuboptimal                | HSB  |
| 722  | 3202  | 502  | 2D2 | K2  | BI  | hentrihexasnabintrisex            | hentrihexasnabintriseximal          | HRR  |
| 723  | 3203  | 503  | 2D3 | K3  | BJ  | trindozaviges                     | trindozavigesimal                   | TDZ  |
| 724  | 3204  | 504  | 2D4 | K4  | BK  | tetrunennaviges                   | tetrunennavigesimal                 | TNV  |
| 725  | 3205  | 505  | 2D5 | K5  | BL  | pentapentuntetrasept              | pentapentuntetraseptimal            | PTR  |
| 726  | 3210  | 506  | 2D6 | K6  | BM  | levahexeleven                     | levahexelevenary                    | LHX  |
| 727  | 3211  | 507  | 2D7 | K7  | BN  | unlevahexeleven                   | unlevahexelevenary                  | ULX  |
| 728  | 3212  | 508  | 2D8 | K8  | BO  | bakerheptoct                      | bakerheptoctal                      | BKC  |
| 729  | 3213  | 509  | 2D9 | K9  | BP  | ennennanon                        | ennennanonary                       | ENNN |
| 730  | 3214  | 50E  | 2DA | KA  | BQ  | decunoctonon                      | decunoctononary                     | DCC  |
| 731  | 3215  | 50X  | 2DB | KB  | BR  | malunhexasept                     | malunhexaseptimal                   | MLH  |
| 732  | 3220  | 510  | 2DC | KC  | BS  | dozunhexages                      | dozunhexagesimal                    | DOX  |
| 733  | 3221  | 511  | 2DD | KD  | BT  | undozunhexages                    | undozunhexagesimal                  | UZH  |
| 734  | 3222  | 512  | 2DE | KE  | BU  | binhexunhexages                   | binhexunhexagesimal                 | BXH  |
| 735  | 3223  | 513  | 2DF | KF  | BV  | triheptapentasept                 | triheptapentaseptimal               | THM  |
| 736  | 3224  | 514  | 2E0 | KG  | BW  | henbilevasnatetroct               | henbilevasnatetroctal               | HVN  |
| 737  | 3225  | 515  | 2E1 | KH  | BX  | levunhexeleven                    | levunhexelevenary                   | LNX  |
| 738  | 3230  | 516  | 2E2 | KI  | BY  | trihexunpentoct                   | trihexunpentoctal                   | THC  |
| 739  | 3231  | 517  | 2E3 | KJ  | BZ  | untrihexunpentoct                 | untrihexunpentoctal                 | UTP  |
| 740  | 3232  | 518  | 2E4 | KK  | Ba  | icosinnift                        | icosinniftimal                      | INN  |
| 741  | 3233  | 519  | 2E5 | KL  | Bb  | hentrihexasnatriker's dozen       | hentrihexasnatriker's dozenal       | HHR  |
| 742  | 3234  | 51E  | 2E6 | KM  | Bc  | biheptuntetraker's dozen          | biheptuntetraker's dozenal          | BHK  |
| 743  | 3235  | 51X  | 2E7 | KN  | Bd  | unbiheptuntetraker's dozen        | unbiheptuntetraker's dozenal        | UHK  |
| 744  | 3240  | 520  | 2E8 | KO  | Be  | tetrahexunpentasex                | tetrahexunpentaseximal              | TXX  |
| 745  | 3241  | 521  | 2E9 | KP  | Bf  | pentuntetrunnift                  | pentuntetrunniftimal                | PRN  |
| 746  | 3242  | 522  | 2EA | KQ  | Bg  | bindozunpentasex                  | bindozunpentaseximal                | BZP  |
